id,title,artist,release,duration,year,loudness,country
164,I Walked Today Where Jesus Walked,Bill & Gloria Gaither,Jerusalem Homecoming,290.06322,2008,-14.492,"San Francisco, CA"
165,Spanish Grease,Nestor Torres,The Very Best of Nestor Torres,201.482,2008,-5.132,"Miami, FL"
166,Blueberry Hill,Gene Autry,Back In The Saddle Again,155.53261,1992,-15.971,"Tioga Springs, TX"
167,Aljarafe,Lole y Manuel,Aljarafe,141.66159,1992,-16.465,"Lee's Summit, MO"
168,It's Not What You Say,Louie Ramirez,Ali Baba,174.10567,1968,-8.192,"New York, NY"
169,24 Hours from Tulsa (Bonus Track),Claire Hamill,Touchpaper,257.01832,2008,-8.226,UK - England - South East
170,Destiny Ft: Lesk One,Ol' Dirty Bastard,Message To The Other Side (Osirus Part 1),180.45342,2006,-3.949,"Brooklyn, New York"
171,Yhteinen koti,Irwin Goodman,Erikoiset,194.32444,2001,-12.374,Hämeenlinna
172,You Still Believe in Me,Rockabye Baby!,Lullaby Renditions of The Beach Boys,203.54567,2002,-10.348,Los Angeles
173,Way Beyond,32 Leaves,Panoramic,233.66485,2009,-6.446,Arizona
174,Don't Knock Love,Barbara Carr,A Decade Of Chicago's Finest,147.66975,2004,-7.8,"St. Louis, MO"
175,Oprah (Album Version),Kathleen Madigan,In Other Words,92.00281,2006,-12.884,California - LA
176,Frieda,David Benoit,Here's To You Charlie Brown - 50 Great Years!,274.1024,2000,-10.03,"Bakersfield, CA"
177,Pick Me Up On Your Way Down,Martina McBride,Timeless,160.62649,2005,-6.94,"Medicine Lodge, KS"
178,Don't You Think It's Time To Go,The Del McCoury Band,The Family,134.68689,2000,-11.197,"Nashville, Tennessee"
179,He Never Changes,4Him,Face The Nation,269.06077,2007,-10.925,"Savannah, TN"
180,Like A Dog,Long Beach Dub Allstars,Right Back,213.62893,1999,-6.969,"Santa Rosa, California"
181,True,Jim Reeves,The International Jim Reeves/ Good 'N' Country,151.58812,2000,-14.547,"Galloway, Panola County, TX"
182,I'll Be Better,Cyndi Wang,H2H,260.98893,2004,-5.445,United States
183,Easy To Lose Hope,Eleanor McEvoy,Snapshots,353.04444,1971,-8.192,"Dublin, Ireland"
184,Why Can't You Be Mine,Jackie Wilson,Reet Petite,120.76363,1958,-9.9,"Detroit, MI"
185,Butts n Stuff,Josh Mullins,I Wouldn't Buy This Either,193.72363,1997,-16.886,"Hermosa Beach, CA"
186,Sailing To The Edge Of The Earth,The Abominable Iron Sloth,The Abominable Iron Sloth,130.45506,2006,-12.748,"Sacramento, CA"
187,Believe,Danny Wright,Walking In Faith,191.7122,2006,-16.021,Texas
188,As The Terror Dances Your Way,The Capitol Years,Dance Away The Terror,242.02404,1981,-5.75,"Houma, LA"
189,Conker The King,Robin Beanland/Dweezil Zappa/Nile Rodgers/Rabbit In The Moon,Conker: Live And Reloaded (Original Soundtrack),131.65669,2005,-14.707,"New York, NY"
190,Street Vibe,Jason Miles,Miles To Miles,294.76526,2005,-6.538,NY - New York City
191,Jarabe De Pico,Pablo Montero,Donde Estas Corazon,202.34404,2003,-8.622,NY - New York City
192,Sweetest Maleficia (Album Version),Cradle Of Filth,Godspeed On The Devil's Thunder,358.37342,2003,-4.386,"Los Angeles, CA"
193,Can You Hear Me,Enrique Iglesias,Can You Hear Me,234.81424,2008,-4.704,"Madrid, Spain"
194,Saturday Love,Alexander O'Neal,Alex Loves...,301.45261,2008,-8.326,"Minneapolis, MN"
195,How Can I,Jah Cure,Ghetto Life,240.48281,2003,-6.335,"Montego Bay, Jamaica"
196,As Mist Lay Silent Beneath,Keep Of Kalessin,Agnen: A Journey Through The Dark,340.4273,1999,-5.298,"New York, NY"
197,Back On My New S*** (feat. Tre Williams),Styles P,The Ghost Dub-Dime Mixtape,229.14567,1997,-5.587,"New York, NY [Queens]"
198,Mallorca_ Op.202 - transcr. Marc Switzer,Pepe Romero,Albéniz / Granados / Romero / Sor: Guitar Solos,397.06077,2009,-30.478,Oregon
199,Kumal & Sangha,Nick Ingman,Two Brothers,110.15791,1967,-20.678,"London, England"
200,Your Love,Mikey Dread,Happy Family,246.02077,2007,-15.011,Jamaica
201,Bata 6/8,Tito Puenté,Salsa Salsa,362.50077,1987,-25.499,"New York, NY"
202,Never My Love,Kathy Troccoli,Kathy Troccoli,251.29751,1994,-10.851,"NASHVILLE, Tennessee"
203,El Perro,Juana Molina,Segundo,401.65832,2003,-14.129,Vernet les Bains
204,Act One: Rise and Fall - From the Ashes (I. Chapter One / II. Chapter Two),Orenda,A Tale of a Tortured Soul,514.0371,2003,-5.823,"ORANGE, California"
205,Nana,Marilyn Horne,Rockabye Baby - Lullabies with Orchestra,109.37424,1986,-22.417,Great Britain / UK
206,Ducktails - Moon,The Advantage,Elf Titled,99.00363,2002,-8.096,"Nevada City, CA"
207,Shy Boy (1999 Digital Remaster),Tomorrow,Tomorrow,146.57261,2006,-10.164,CANADA - Ontario
208,It Is No Secret (What God Can Do),Tammy Wynette,The World Of Tammy Wynette,148.00934,1991,-13.18,"Itawamba County, MS"
209,The Way Love Is,Captain Hollywood Project,Animals or Human,338.36363,1995,-8.67,"New York, NY"
210,Eres Tu,Mongo Santamaria,Arriba!,198.5824,1995,-12.272,"Havana, Cuba [Jesus Maria]"
211,Henrys Death,BT,Stealth,214.54322,2005,-7.652,Earth
212,Give It All You Got,DJ Primo,Masters Of Darkness - The Best Early Rave & Hardcore,243.06893,1995,-10.608,Texas
213,Les Noirs Marchant (Rudy Van Gelder 24Bit Mastering) (2002 Digital Remaster),Bobby Hutcherson,Dialogue (The Rudy Van Gelder Edition),399.51628,1994,-12.321,"Los Angeles, CA"
214,Grace And Mercy Part II,Dorothy Norwood,Hattie B's Daughter,254.24934,1990,-10.111,Vrsac
215,Life,Vinylbase,Life,361.79546,1940,-3.633,Warszawa
216,Macht hoch die Tür,Thomas Battenstein,Stille Nacht,126.74567,1999,-21.056,"Alberta, Canada"
217,C Day (Maxi Club Version),Confetti's,Greatest Hits,312.45016,2001,-5.671,"Jacksonville, FL"
218,Itchycoo Park,Small Faces,Ultimate Collection,172.72118,1967,-8.643,"West London, England"
219,Mark My Words (Album Version),Hatebreed,Satisfaction Is The Death Of Desire,111.22893,1997,-5.665,"New Haven, CT"
220,Honey,Mariah Carey Featuring Da Brat & JD,The Remixes,314.122,1997,-10.728,"New York, New York"
221,We All Need Love,Irma Thomas,The Story Of My Life,190.9024,2008,-11.975,"Ponchatoula, LA"
222,Reminisce For A While (Sung With Raul Malo),Neil Diamond,Tennessee Moon,267.57179,1996,-9.413,"Brooklyn, NY"
223,What Woman Really Wear To Bed,Steve Harvey,Live ... Down South Somewhere,268.45995,1997,-9.965,Georgia
224,I Am Fred Astaire (Album Version),Taking Back Sunday,Where You Want To Be,223.39873,2004,-4.495,"Long Island, New York"
225,The Preacher & the Funeral,LaWanda Page,Mutha Is Half a Word,187.76771,1991,-15.233,"Itawamba County, MS"
226,Gail Wakes Up,Michael Whalen,The Shape Of Life,77.29587,2009,-11.568,New York
227,Aftertaste,X-tv,Three is a crowd,332.79955,1993,-10.372,"Bakersfield, CA"
228,Memphis Jug,Memphis Jug Band,The Best Of The Memphis Jug Band,187.53261,2001,-17.186,"Memphis, TN"
229,Stand (Album Version),Kiss,Sonic Boom,290.84689,2000,-6.558,"New York, NY"
230,I Could Use Another You (Digital Re-Recording),Eddy Raven,The Very Best Of Eddy Raven,164.64934,1996,-14.264,"Lafayette, LA"
231,Blues Again,Rory Block,The Early Tapes 1975-1976,111.46404,2005,-16.037,"New York, NY"
232,Tredveårsfurua På Askøy,Black Debbath,Den Femte Statsmakt,257.82812,2009,-6.979,"Oslo, Norway"
233,Beautiful,Christina Aguilera,Dance Vault Remixes - Beautiful,236.95628,2002,-3.924,Tennessee
234,N'ayez crainte mesdames,Fred Merpol,En vrai,345.10322,1981,-14.855,"Rio de Janeiro, Brazil"
235,Min Tou Milate Tou Pediou,Antonis Remos,Antonis Remos Live,94.51057,1997,-9.406,Jackson MS
236,Soy De Oaxaca,Los Originales De San Juan,Lo Mejor De Los Originales,199.07873,2004,-6.641,California - SF
237,Slow Ride [Live Version],Foghat,Live,501.2371,1977,-9.817,"London, England"
238,Goin' To Hell On A Sled,John D. Loudermilk,The Open Mind Of John D. Loudermilk,124.39465,1959,-8.039,"Durham, NC"
239,The World Turned Upside Down,Coldplay,Fix You,269.34812,2005,-6.294,"Port Arthur, TX"
240,Everyone's At It,Lily Allen,It's Not Me_ It's You,277.83791,2009,-6.399,LDN
241,I Want To Live (Smash Club Mix),Deepface,I Want To Live,362.68363,1927,-4.577,Shawnee OK
242,National Fencibles March,Henry Mancini,Sousa In Hi-Fi,187.74159,2006,-11.088,"Cleveland, OH"
243,Mädchen mit Plan,2raumwohnung,In wirklich,272.95302,2002,-9.846,"Berlin, Germany"
244,The Fourth Wish,Bruno Sanfilippo,The New Kingdom,398.602,2006,-16.864,Buenos Aires
245,Obsession,Rainforest Trio,Beyond Brasil,291.39546,1994,-16.246,Florida
246,I Will Be Free (LP Version),Cindy Morgan,The Definitive Collection,295.10485,1989,-10.602,"Nashville, TN"
247,You're Not Alone,Olive,Ministry of Sound Presents Chilled II 1991-2009,211.35628,1996,-10.616,United States
248,White Girl Who Can Dance,HardNox,I Go Dumb Of This Heavy Metal,228.80608,2006,-5.675,California - SF
249,Chuckanut Drive,Power Pill Fist,Kongmanivong,291.42159,2008,0.566,California - SF
250,Enervé,Olivia Ruiz,J'Aime Pas L'Amour,230.24281,2004,-5.106,"Carcassonne, France"
